date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:27:11	6953/6953	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Mar%202025%2000:27:08%20GMT	https://vpn-comparison-guiyinf.rollout.site/robots.txt		(from )
01:27:12	432435/432435	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2016%20Mar%202025%2000:27:08%20GMT	https://vpn-comparison-guiyinf.rollout.site/	C:/My%20Web%20Sites/mine/vpn-comparison-guiyinf.rollout.site/index.html	(from )
01:27:41	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Mar%202025%2000:27:38%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/mine/fonts.gstatic.com/index.html	(from https://vpn-comparison-guiyinf.rollout.site/)
01:27:41	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Mar%202025%2000:27:38%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/mine/fonts.googleapis.com/index.html	(from https://vpn-comparison-guiyinf.rollout.site/)
01:27:44	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2016%20Mar%202025%2000:27:40%20GMT	https://cdn.tailwindcss.com/	C:/My%20Web%20Sites/mine/cdn.tailwindcss.com/index.html	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:33	88426/88426	U-----	200	untouched ('')	application/javascript	etag:%2264c9903f-69ec%22	https://cdnjs.cloudflare.com/ajax/libs/handlebars.js/4.7.8/handlebars.min.js	C:/My%20Web%20Sites/mine/cdnjs.cloudflare.com/ajax/libs/handlebars.js/4.7.8/handlebars.min.js	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:38	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Mar%202025%2000:28:30%20GMT	https://fonts.googleapis.com/robots.txt		(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:42	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Mar%202025%2000:28:38%20GMT	https://fonts.gstatic.com/robots.txt		(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:44	248/248	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2016%20Mar%202025%2000:28:40%20GMT	https://cdn.tailwindcss.com/robots.txt		(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:44	522342/522342	U-----	200	untouched ('')	application/javascript	etag:%226585e3db-20d52%22	https://cdnjs.cloudflare.com/ajax/libs/apexcharts/3.45.1/apexcharts.min.js	C:/My%20Web%20Sites/mine/cdnjs.cloudflare.com/ajax/libs/apexcharts/3.45.1/apexcharts.min.js	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:44	43441/43441	U-----	200	untouched ('')	application/javascript	etag:%22655ae1d1-3d58%22	https://cdnjs.cloudflare.com/ajax/libs/alpinejs/3.13.3/cdn.min.js	C:/My%20Web%20Sites/mine/cdnjs.cloudflare.com/ajax/libs/alpinejs/3.13.3/cdn.min.js	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:44	102641/102641	U-----	200	untouched ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/mine/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Mar%202025%2000:28:42%20GMT	http://www.w3.org/robots.txt		(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Mar%202025%2000:28:35%20GMT	http://www.w3.org/2000/svg	C:/My%20Web%20Sites/mine/www.w3.org/2000/svg.4.delayed	(from https://vpn-comparison-guiyinf.rollout.site/)
01:28:45	407279/407279	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2022%20Feb%202025%2009:22:24%20GMT	https://cdn.tailwindcss.com/3.4.16	C:/My%20Web%20Sites/mine/cdn.tailwindcss.com/3.4.16	(from https://cdn.tailwindcss.com/)
